400, ../OUTPUT/pa5-E-Output.txt
0.3802 -6.3217 -101.0212 179.8693 111.1809 -41.2065
31.04 2.22 -27.41 30.91 2.21 -27.36 0.16
-14.07 13.68 47.21 -14.25 13.83 47.27 0.25
-9.47 -24.61 -36.50 -9.47 -24.61 -36.50 0.02
-36.22 6.52 -28.29 -36.33 6.56 -28.31 0.11
-35.39 -10.47 -15.19 -35.42 -10.48 -15.15 0.05
1.53 -3.14 -26.23 1.52 -3.15 -26.22 0.02
29.89 -12.69 -15.76 29.72 -12.51 -15.72 0.26
-12.88 10.60 -16.06 -12.86 10.65 -16.01 0.07
18.35 -19.80 -18.02 18.46 -19.60 -17.97 0.23
-2.54 -6.28 -41.62 -2.42 -6.23 -41.67 0.13
37.42 -7.46 2.28 37.44 -7.48 2.28 0.02
-5.61 0.16 45.86 -5.46 0.17 45.84 0.16
30.03 19.51 8.00 30.07 19.59 8.14 0.17
-2.82 21.37 41.13 -2.87 21.55 41.11 0.19
-21.63 4.24 -46.31 -21.63 4.16 -46.23 0.11
31.15 10.74 -22.73 31.19 10.81 -22.76 0.07
-23.47 -16.09 -46.03 -23.47 -16.08 -46.03 0.00
1.72 -21.68 -30.23 1.68 -21.63 -30.23 0.05
-11.70 10.50 -35.78 -11.64 10.56 -35.79 0.09
3.72 13.11 -6.93 3.74 13.15 -6.90 0.05
-23.56 -17.67 -44.95 -23.55 -17.66 -44.94 0.01
-19.32 -28.88 -23.07 -19.30 -28.73 -23.08 0.15
30.94 19.86 7.40 30.97 19.91 7.41 0.04
3.32 21.13 35.80 3.28 21.35 35.77 0.23
24.45 -17.02 -13.10 24.40 -16.94 -13.01 0.12
2.96 22.36 40.80 2.96 22.41 40.79 0.05
37.38 3.66 -13.10 37.32 3.75 -13.19 0.16
34.05 4.93 -16.30 33.95 4.95 -16.24 0.13
-13.52 9.07 -42.59 -13.50 9.06 -42.58 0.00
-17.23 10.72 -39.11 -17.24 10.72 -39.12 0.04
-5.17 6.75 -16.44 -5.14 6.84 -16.45 0.10
5.81 -11.22 10.93 5.86 -11.09 10.92 0.13
-13.98 8.93 -42.23 -13.97 8.93 -42.22 0.00
-37.25 -17.06 -19.32 -37.26 -17.07 -19.32 0.01
1.63 -2.93 -25.98 1.58 -2.96 -25.94 0.06
-35.35 3.99 -17.53 -35.40 3.99 -17.51 0.05
3.77 21.04 31.53 3.74 21.16 31.53 0.13
-24.65 -11.94 -47.71 -24.64 -11.92 -47.64 0.06
30.10 19.94 1.16 30.10 19.95 1.16 0.01
2.75 -10.41 16.44 2.75 -10.20 16.39 0.22
-11.16 -27.19 -26.30 -11.18 -27.10 -26.31 0.09
38.02 14.05 9.68 37.99 14.08 9.64 0.07
-36.18 -19.09 -26.88 -36.20 -19.09 -26.89 0.02
-14.09 10.31 11.91 -14.16 10.46 11.91 0.16
-6.51 19.86 39.58 -6.52 19.87 39.58 0.01
-4.43 12.76 0.75 -4.41 12.73 0.75 0.04
28.28 -1.17 28.54 28.30 -1.17 28.55 0.01
26.12 22.15 -5.26 26.13 22.20 -5.26 0.05
40.72 6.20 -12.61 40.68 6.20 -12.59 0.05
-4.28 2.89 54.91 -4.27 2.90 54.91 0.02
-33.74 -22.98 -22.27 -33.73 -22.97 -22.28 0.02
30.68 -4.93 -27.33 30.61 -4.88 -27.23 0.14
-18.32 11.24 46.02 -18.37 11.27 46.05 0.08
-2.02 -10.66 -42.80 -2.05 -10.66 -42.77 0.04
8.66 -7.35 -23.49 8.65 -7.36 -23.46 0.03
17.87 -17.89 -19.76 18.06 -17.81 -19.67 0.21
-16.95 -27.49 -35.70 -16.96 -27.43 -35.67 0.06
42.78 4.68 -4.88 42.78 4.68 -4.88 0.02
30.57 17.27 8.43 30.61 17.30 8.54 0.11
-2.86 5.18 -23.91 -2.77 5.23 -23.88 0.11
15.88 -7.80 23.83 15.88 -7.64 23.81 0.16
-21.28 4.52 19.39 -21.38 4.60 19.37 0.13
8.43 -6.62 26.48 8.42 -6.46 26.45 0.16
10.65 10.08 -28.61 10.69 10.11 -28.57 0.05
0.84 -3.56 -27.27 0.91 -3.49 -27.32 0.12
-3.51 1.44 52.40 -3.46 1.49 52.40 0.08
-35.90 7.55 -25.66 -35.97 7.60 -25.66 0.08
32.56 10.09 14.13 32.67 10.20 14.20 0.16
41.39 -2.94 5.05 41.31 -2.88 5.04 0.11
23.76 20.04 -20.51 23.75 20.01 -20.50 0.04
-13.59 10.06 17.32 -13.50 10.24 17.40 0.24
-1.32 -9.89 10.80 -1.30 -9.85 10.80 0.04
24.95 -5.31 28.25 24.87 -5.21 28.23 0.13
35.02 14.29 11.19 35.03 14.29 11.19 0.01
8.23 20.78 12.05 8.21 20.88 12.07 0.11
17.20 -3.17 60.19 17.13 -3.05 60.07 0.19
-23.17 12.54 35.69 -23.14 12.52 35.68 0.03
0.40 24.21 58.62 0.41 24.15 58.62 0.05
-13.31 8.25 -0.63 -13.28 8.19 -0.63 0.06
26.89 -15.54 -4.79 26.74 -15.39 -4.83 0.22
39.13 -1.21 -20.81 39.11 -1.21 -20.81 0.03
34.49 -8.23 -20.86 34.40 -8.18 -20.83 0.12
-36.45 -17.81 -16.80 -36.46 -17.80 -16.83 0.04
13.09 23.61 4.38 13.09 23.75 4.45 0.18
26.29 22.07 -7.09 26.30 22.10 -7.10 0.02
14.77 22.37 7.13 14.76 22.39 7.13 0.04
34.40 -9.21 -12.55 34.32 -9.09 -12.54 0.15
0.85 -4.03 41.83 0.87 -3.75 41.71 0.30
30.69 19.61 -5.04 30.68 19.59 -5.04 0.03
-21.25 -17.39 -6.83 -21.27 -17.42 -6.72 0.12
-21.81 -29.23 -26.14 -21.78 -29.02 -26.13 0.21
33.97 12.09 -12.15 33.97 12.09 -12.15 0.01
19.92 -5.28 -20.05 19.94 -5.28 -20.02 0.03
-10.48 9.49 -17.39 -10.33 9.68 -17.31 0.27
-1.31 23.76 56.69 -1.29 23.67 56.70 0.09
-8.62 11.01 5.96 -8.61 10.97 5.96 0.04
16.74 20.32 -25.42 16.78 20.42 -25.48 0.12
28.54 -11.37 0.48 28.44 -11.28 0.46 0.14
-31.00 7.90 -38.50 -31.02 7.93 -38.52 0.05
-0.77 22.85 49.44 -0.83 22.97 49.41 0.14
15.37 23.91 35.37 15.37 23.99 35.35 0.09
20.60 -3.89 43.98 20.63 -3.94 43.99 0.06
24.13 5.54 48.48 24.08 5.55 48.47 0.05
9.82 9.67 -7.62 9.83 9.69 -7.65 0.03
21.05 20.38 17.13 21.06 20.40 17.13 0.02
24.03 -1.97 39.05 24.11 -2.02 39.07 0.09
-9.49 10.70 57.06 -9.31 10.90 57.02 0.27
-6.29 2.59 43.45 -6.31 2.58 43.45 0.00
-26.72 -23.50 -15.66 -26.73 -23.51 -15.60 0.06
-1.55 -4.52 -37.51 -1.48 -4.47 -37.55 0.09
-29.38 -25.57 -31.17 -29.41 -25.62 -31.18 0.06
-8.67 9.75 -1.99 -8.62 9.72 -1.96 0.07
-4.13 -20.99 -37.38 -4.17 -20.96 -37.32 0.08
-0.51 12.59 61.51 -0.50 12.61 61.58 0.07
39.22 12.79 6.28 39.17 12.84 6.25 0.09
23.70 13.67 57.12 23.51 13.66 57.08 0.19
23.93 9.03 53.70 23.94 9.03 53.71 0.00
-4.96 -2.63 37.45 -5.10 -2.75 37.48 0.18
29.19 12.88 16.97 29.35 13.05 17.01 0.23
-15.42 -10.56 -48.69 -15.43 -10.54 -48.59 0.09
-23.02 -28.57 -28.68 -23.03 -28.57 -28.68 0.01
-26.56 -20.71 -42.62 -26.56 -20.74 -42.65 0.05
32.25 11.38 -18.40 32.28 11.42 -18.41 0.04
8.80 -6.37 27.05 8.80 -6.32 27.05 0.05
2.66 -7.87 -35.40 2.70 -7.86 -35.39 0.04
11.85 23.52 -7.28 11.82 23.74 -7.31 0.22
-28.06 -26.67 -26.48 -27.98 -26.54 -26.47 0.14
13.98 21.91 9.75 13.94 22.07 9.75 0.17
-8.86 10.55 57.33 -8.85 10.56 57.33 0.02
33.32 3.71 18.77 33.25 3.68 18.73 0.10
-16.84 6.84 -9.75 -16.86 6.88 -9.73 0.05
8.06 0.44 62.40 8.05 0.43 62.50 0.10
-35.78 -18.17 -36.62 -35.72 -18.12 -36.59 0.09
-24.51 -27.83 -30.51 -24.48 -27.72 -30.48 0.11
-18.91 6.16 8.79 -19.05 6.24 8.77 0.16
-19.81 2.27 24.32 -19.81 2.24 24.31 0.01
27.28 21.40 -6.95 27.33 21.47 -6.97 0.08
35.13 9.97 -15.05 35.17 10.01 -15.07 0.04
3.96 21.57 1.72 3.81 21.83 1.72 0.30
9.74 -12.72 -24.13 9.78 -12.71 -24.18 0.06
35.84 -6.47 -20.19 35.76 -6.43 -20.18 0.11
-18.55 7.65 16.22 -18.62 7.74 16.22 0.12
-0.17 -11.78 -0.55 -0.15 -11.70 -0.57 0.09
-7.54 8.06 -19.56 -7.49 8.13 -19.54 0.09
19.10 13.12 -33.61 19.10 13.12 -33.61 0.01
-18.53 8.94 -12.80 -18.51 8.93 -12.63 0.17
-10.56 6.06 45.11 -10.55 6.09 45.10 0.04
7.68 -7.28 24.21 7.64 -7.22 24.17 0.08
23.31 -2.75 -25.07 23.40 -2.64 -24.95 0.18
-26.34 0.64 -46.79 -26.29 0.60 -46.68 0.11
-22.55 -27.95 -32.69 -22.51 -27.87 -32.67 0.09
36.70 14.65 10.73 36.69 14.68 10.70 0.05
7.05 -4.77 -24.05 7.01 -4.74 -23.95 0.11
0.12 -10.33 -39.99 0.21 -10.34 -40.04 0.11
28.70 13.79 17.18 28.63 13.70 17.16 0.12
-14.39 9.59 19.43 -14.31 9.54 19.47 0.11
-5.82 -23.94 -23.14 -5.88 -23.89 -23.19 0.09
-17.30 -8.27 -2.15 -17.28 -8.25 -2.17 0.05
-25.59 -9.45 -48.08 -25.58 -9.44 -48.04 0.03
14.91 -4.66 56.81 14.82 -4.49 56.80 0.20
-0.06 15.19 -6.20 -0.01 15.18 -6.19 0.06
-26.67 -2.69 -9.28 -26.69 -2.67 -9.22 0.06
-8.72 2.16 37.31 -8.68 2.26 37.27 0.12
-0.96 -19.53 -38.60 -0.92 -19.53 -38.51 0.11
1.80 23.83 52.36 1.77 23.94 52.35 0.12
-9.21 -23.29 -15.47 -9.20 -23.31 -15.47 0.03
-22.10 4.02 21.62 -22.13 4.03 21.62 0.03
21.68 -1.95 49.02 21.55 -1.84 49.00 0.17
-29.11 -19.04 -44.03 -29.04 -18.97 -43.90 0.15
5.25 -4.17 60.74 5.27 -4.12 60.72 0.06
-36.97 5.16 -22.42 -36.88 5.15 -22.46 0.10
-34.80 -18.46 -16.13 -34.78 -18.46 -16.14 0.03
-11.35 -23.81 -13.13 -11.36 -23.81 -13.17 0.04
8.85 -0.12 62.24 8.86 -0.15 62.33 0.09
28.81 -12.16 -19.50 28.84 -12.19 -19.50 0.04
12.10 -4.08 60.84 12.07 -3.95 60.79 0.15
-17.32 0.71 18.89 -17.26 0.84 18.88 0.16
18.24 24.37 59.22 18.43 24.52 59.26 0.25
25.98 -8.84 12.19 25.89 -8.75 12.14 0.15
-7.31 19.31 51.93 -7.32 19.32 51.92 0.02
-11.19 16.19 48.68 -11.28 16.30 48.68 0.15
-9.97 -24.80 -35.87 -9.98 -24.87 -35.91 0.10
-17.36 0.79 14.82 -17.46 0.68 14.85 0.14
2.41 16.92 -10.92 2.35 16.93 -10.95 0.07
33.75 12.55 -11.88 33.82 12.58 -11.91 0.07
9.34 -10.22 -24.02 9.32 -10.23 -24.00 0.03
-6.43 -10.46 -46.25 -6.43 -10.46 -46.27 0.03
8.84 11.57 -22.00 8.88 11.58 -22.01 0.03
-13.19 10.61 8.46 -13.19 10.63 8.46 0.02
-21.92 -29.05 -28.60 -21.91 -29.00 -28.59 0.05
-4.43 -20.04 -10.92 -4.43 -19.96 -10.95 0.09
13.43 -5.82 42.41 13.48 -5.61 42.39 0.21
-23.57 12.33 33.64 -23.56 12.33 33.64 0.01
-5.34 -8.10 9.51 -5.26 -7.95 9.46 0.18
-11.88 -22.64 -13.11 -11.86 -22.62 -12.99 0.13
32.02 8.75 17.70 32.03 8.75 17.70 0.00
-10.03 10.71 11.47 -10.02 10.69 11.47 0.03
-20.16 -9.23 -50.25 -20.14 -9.15 -50.14 0.13
-21.31 13.25 33.18 -21.37 13.40 33.15 0.17
16.52 -16.30 -19.31 16.56 -16.18 -19.18 0.17
7.87 13.94 -22.11 7.88 13.95 -22.11 0.01
-29.97 -25.34 -31.36 -29.97 -25.35 -31.36 0.01
-19.76 1.66 0.83 -19.72 1.63 0.82 0.05
-8.85 10.90 9.96 -8.93 11.05 9.94 0.17
10.31 -16.20 -20.48 10.26 -16.02 -20.35 0.22
36.83 11.96 -7.76 36.81 11.94 -7.74 0.04
-5.10 6.87 -15.96 -5.10 6.88 -15.96 0.01
16.03 23.16 15.46 15.96 23.40 15.44 0.26
-0.34 0.22 -26.08 -0.32 0.23 -26.09 0.03
31.99 -10.71 -18.47 32.00 -10.59 -18.51 0.12
1.27 18.91 -0.20 1.13 19.05 -0.23 0.20
29.53 20.08 0.95 29.59 20.21 0.94 0.14
-14.78 -26.98 -19.23 -14.79 -26.94 -19.24 0.04
-26.50 9.07 -11.37 -26.50 9.05 -11.32 0.05
-25.37 -14.25 -46.81 -25.34 -14.18 -46.68 0.14
-18.91 5.81 -10.20 -18.96 5.89 -10.16 0.11
6.13 -17.25 -27.20 6.04 -17.25 -27.11 0.14
5.65 -4.56 48.92 5.65 -4.57 48.92 0.02
9.33 0.06 -18.07 9.32 0.09 -18.10 0.04
0.78 -12.74 -38.64 0.78 -12.75 -38.62 0.03
-31.28 4.59 -10.90 -31.38 4.58 -10.86 0.10
-19.48 3.02 3.28 -19.61 3.02 3.28 0.13
-14.90 11.65 49.38 -14.85 11.62 49.38 0.06
-25.03 10.27 -11.24 -25.03 10.35 -11.18 0.10
24.87 14.67 43.49 25.09 14.72 43.51 0.23
0.54 -10.75 9.92 0.58 -10.55 9.92 0.21
0.45 -0.22 -25.65 0.49 -0.19 -25.62 0.06
-0.52 -4.81 -36.27 -0.51 -4.81 -36.27 0.00
-38.02 1.87 -28.55 -38.02 1.87 -28.55 0.00
-2.56 -11.02 1.18 -2.56 -10.90 1.12 0.13
-5.29 -20.85 -12.85 -5.30 -20.89 -12.75 0.10
-10.48 8.54 49.75 -10.51 8.50 49.77 0.05
13.51 -14.66 -20.83 13.46 -14.63 -20.76 0.10
-22.01 4.24 -46.26 -22.01 4.18 -46.21 0.07
15.52 -3.59 60.61 15.47 -3.50 60.52 0.14
-35.84 7.57 -29.77 -35.77 7.54 -29.76 0.08
24.66 2.91 43.69 24.62 2.92 43.68 0.05
-2.87 -11.85 -43.46 -2.92 -11.85 -43.41 0.06
16.21 -18.77 -16.77 16.31 -18.62 -16.73 0.18
35.00 15.81 -5.23 34.96 15.77 -5.23 0.07
34.06 2.83 18.15 34.02 2.81 18.12 0.06
-31.89 7.30 -38.63 -31.81 7.21 -38.59 0.13
-12.46 5.49 42.70 -12.46 5.45 42.72 0.05
-28.59 11.24 -33.35 -28.68 11.36 -33.38 0.16
-16.74 -29.22 -30.13 -16.72 -29.27 -30.16 0.07
4.06 10.77 -7.39 4.04 10.75 -7.35 0.06
24.53 13.59 52.05 24.48 13.59 52.04 0.05
-5.10 -21.09 -12.85 -5.10 -21.10 -12.82 0.03
-6.52 -21.52 -39.14 -6.60 -21.42 -39.09 0.13
14.87 1.77 61.57 14.91 1.77 61.72 0.15
-28.06 -24.57 -37.65 -28.03 -24.51 -37.62 0.06
31.60 -11.16 -19.74 31.61 -11.02 -19.79 0.15
-3.00 17.19 21.65 -2.96 17.12 21.66 0.08
26.11 -7.03 -24.35 26.24 -6.94 -24.19 0.21
-18.56 12.02 -14.73 -18.54 12.06 -14.70 0.05
31.47 -11.17 -14.22 31.43 -11.13 -14.21 0.06
-29.64 -17.49 -44.33 -29.64 -17.48 -44.32 0.01
-5.83 1.91 -41.99 -5.83 1.92 -41.96 0.02
36.17 -7.77 -14.15 36.06 -7.64 -14.14 0.18
2.86 -2.36 -25.15 2.85 -2.37 -25.14 0.02
34.99 -6.67 -21.86 34.92 -6.62 -21.82 0.11
24.60 6.14 46.26 24.59 6.14 46.26 0.02
-2.04 0.30 52.93 -2.16 0.18 52.94 0.16
11.39 -6.70 27.83 11.44 -6.52 27.81 0.19
35.68 12.70 -8.84 35.55 12.69 -8.78 0.14
-27.61 12.54 -19.54 -27.61 12.55 -19.54 0.01
-14.13 13.14 35.91 -14.18 13.46 35.84 0.33
-22.89 -27.03 -19.24 -22.89 -27.05 -19.23 0.03
-0.42 16.39 60.85 -0.42 16.40 60.96 0.11
-16.34 -23.37 -12.32 -16.35 -23.36 -12.33 0.01
5.42 -11.43 6.78 5.45 -11.35 6.77 0.09
-27.14 -20.51 -43.04 -27.14 -20.45 -42.98 0.08
11.87 -12.99 4.48 11.91 -12.80 4.45 0.20
-9.06 -23.76 -18.43 -9.02 -23.81 -18.41 0.07
20.82 -13.00 8.40 20.79 -12.97 8.36 0.06
-21.28 -28.98 -25.41 -21.27 -28.87 -25.43 0.11
-3.37 -2.93 -40.04 -3.38 -2.94 -40.03 0.01
-16.05 8.94 48.67 -16.14 9.00 48.60 0.12
6.03 24.03 59.74 6.03 24.09 59.76 0.06
-38.44 -14.99 -17.94 -38.40 -14.96 -17.94 0.05
23.07 9.60 -32.70 23.07 9.61 -32.71 0.01
40.65 7.98 -10.55 40.67 7.95 -10.52 0.03
-35.65 -7.43 -41.05 -35.51 -7.43 -40.96 0.16
-19.18 -29.03 -24.86 -19.18 -29.01 -24.86 0.01
-20.02 -8.80 -50.39 -20.02 -8.81 -50.40 0.02
13.60 3.68 -18.69 13.61 3.66 -18.59 0.11
-2.55 17.20 60.93 -2.54 17.21 61.02 0.07
-34.77 -20.49 -17.57 -34.78 -20.49 -17.56 0.01
6.10 23.72 45.36 6.10 23.74 45.36 0.02
7.42 -17.99 -13.96 7.42 -17.81 -14.00 0.17
-22.75 -1.73 -7.64 -22.80 -1.70 -7.60 0.07
6.83 -5.08 42.64 6.83 -5.05 42.64 0.04
-31.64 -5.07 -46.35 -31.59 -5.08 -46.31 0.06
-2.45 -8.83 14.48 -2.46 -8.84 14.48 0.01
-37.40 -16.60 -17.30 -37.41 -16.61 -17.30 0.02
37.47 14.71 4.75 37.48 14.73 4.75 0.02
29.00 -10.00 3.01 28.90 -9.94 2.98 0.13
5.38 20.97 -8.93 5.30 21.07 -8.98 0.13
-7.54 -25.33 -22.86 -7.57 -25.27 -22.89 0.07
20.72 2.21 -28.48 20.71 2.20 -28.48 0.02
2.89 13.95 60.99 2.89 13.99 61.13 0.15
6.30 -10.81 13.06 6.31 -10.80 13.06 0.02
18.86 -2.21 -20.17 18.90 -2.19 -20.11 0.07
-10.26 13.35 59.10 -10.26 13.35 59.10 0.00
12.12 23.09 29.72 12.16 23.27 29.74 0.19
12.96 8.04 -14.10 12.94 8.03 -14.11 0.03
1.31 20.02 28.82 1.29 20.07 28.81 0.05
-4.14 -1.90 46.14 -4.14 -1.90 46.14 0.01
-3.54 5.71 -21.44 -3.64 5.66 -21.48 0.11
20.35 23.26 -7.95 20.41 23.46 -7.98 0.20
41.99 2.28 -1.10 42.00 2.28 -1.10 0.00
-19.59 -26.90 -37.09 -19.59 -26.94 -37.11 0.05
-10.58 14.43 59.86 -10.43 14.47 59.83 0.17
16.90 -4.42 -19.58 16.90 -4.42 -19.55 0.03
-12.96 14.53 49.50 -13.01 14.56 49.51 0.07
6.81 -10.70 -26.90 6.70 -10.71 -26.80 0.16
3.69 -1.95 61.92 3.71 -1.95 62.06 0.13
13.45 -4.27 60.02 13.45 -4.30 60.03 0.02
22.11 20.23 50.35 22.02 20.15 50.37 0.12
36.18 -7.15 -9.41 36.07 -7.13 -9.42 0.12
21.90 20.61 12.85 22.00 20.75 12.89 0.17
19.77 -13.93 -20.11 19.73 -13.80 -19.96 0.20
5.53 23.84 60.01 5.55 24.04 60.08 0.21
-4.97 -6.90 17.33 -4.99 -6.94 17.34 0.04
21.48 -15.60 4.07 21.45 -15.56 4.04 0.06
3.98 21.56 37.67 3.94 21.77 37.64 0.21
8.45 -5.19 40.21 8.45 -5.17 40.21 0.03
-18.00 7.95 10.40 -18.01 7.96 10.41 0.01
-27.78 -15.08 -8.48 -27.78 -15.02 -8.30 0.18
23.10 19.23 14.91 23.15 19.29 14.93 0.08
-21.01 -0.84 -48.90 -21.01 -0.84 -48.88 0.02
1.35 23.75 53.68 1.30 23.94 53.66 0.20
13.90 24.34 60.02 13.90 24.33 60.04 0.01
-10.79 12.22 53.36 -10.80 12.22 53.36 0.00
-13.47 -11.50 -48.22 -13.46 -11.49 -48.20 0.01
28.01 -12.90 -19.91 27.97 -12.83 -19.94 0.09
20.67 -17.21 -20.63 20.65 -17.16 -20.68 0.08
6.17 -5.70 30.59 6.17 -5.79 30.60 0.09
23.79 3.44 48.36 23.63 3.48 48.32 0.18
36.07 13.49 -6.81 36.10 13.50 -6.82 0.03
-1.36 -0.04 57.19 -1.35 -0.03 57.19 0.02
-36.97 -11.96 -15.94 -37.03 -11.97 -15.94 0.05
-30.99 5.24 -40.69 -30.98 5.22 -40.68 0.02
-10.44 -22.56 -13.84 -10.43 -22.56 -13.84 0.01
38.08 13.98 9.57 38.05 14.01 9.54 0.06
24.37 -15.67 -0.29 24.38 -15.69 -0.28 0.02
-34.51 -19.88 -16.57 -34.53 -19.89 -16.56 0.02
8.24 -4.97 48.50 8.24 -5.06 48.51 0.09
-26.76 -23.85 -40.27 -26.75 -23.78 -40.19 0.10
30.69 7.91 22.94 30.58 7.87 22.91 0.13
10.48 22.99 28.68 10.48 23.00 28.68 0.02
7.22 -10.65 15.25 7.21 -10.68 15.26 0.03
-19.92 14.35 -29.71 -19.90 14.48 -29.72 0.13
-4.85 1.42 -41.79 -4.86 1.44 -41.74 0.04
-1.01 -18.01 -9.43 -1.02 -18.00 -9.45 0.02
33.05 -4.62 11.22 33.01 -4.51 11.17 0.13
0.48 -3.87 -32.75 0.52 -3.82 -32.75 0.06
37.53 -3.98 -18.25 37.50 -4.03 -18.28 0.06
33.45 -7.52 2.57 33.49 -7.35 2.50 0.19
41.94 2.14 -13.99 41.90 2.11 -13.98 0.07
