150, ../OUTPUT/pa5-B-Output.txt
46.8361 137.8723 70.3294 -4.0476 -34.0832 2.6925
9.00 -3.71 41.25 8.93 -3.17 41.28 0.55
25.93 6.80 29.99 26.30 6.93 30.02 0.39
4.63 15.50 -0.48 5.00 15.02 -0.15 0.69
-32.71 3.61 -42.84 -32.49 3.13 -42.53 0.62
17.54 -4.00 20.74 17.59 -3.30 20.68 0.70
21.13 12.36 61.09 21.39 12.46 61.13 0.28
-6.36 -6.69 15.35 -5.88 -6.19 15.26 0.70
6.64 18.83 52.33 6.59 18.93 52.33 0.11
9.88 -4.94 65.14 9.89 -4.49 65.17 0.44
-32.41 -17.60 -12.77 -32.72 -17.74 -12.39 0.51
32.98 10.13 -12.04 33.14 10.16 -12.13 0.18
22.92 9.41 53.97 23.45 9.56 54.05 0.55
-20.81 8.80 -35.85 -20.78 9.06 -35.90 0.26
-5.02 3.47 -23.74 -5.10 3.37 -23.69 0.14
20.68 -3.87 -26.25 21.27 -3.54 -25.09 1.34
0.06 18.17 42.19 -0.20 18.55 42.36 0.50
-38.92 -0.31 -41.40 -38.42 -0.83 -40.91 0.87
25.67 17.26 -20.87 25.64 17.23 -20.81 0.08
32.75 2.18 10.59 33.38 2.28 11.00 0.76
-1.00 -2.28 67.10 -0.62 -1.78 67.12 0.63
31.47 -4.41 -23.53 31.16 -4.12 -23.31 0.48
-38.60 -23.31 -23.32 -38.38 -23.11 -23.43 0.32
-17.69 2.34 -14.85 -17.76 2.64 -14.76 0.32
-1.85 11.75 50.30 -1.70 11.67 50.30 0.16
-13.74 19.50 23.87 -13.75 19.50 23.87 0.01
-15.72 -31.60 -35.31 -15.70 -31.65 -35.33 0.05
0.11 15.12 5.39 0.62 14.64 5.83 0.82
-5.35 -1.09 -33.90 -4.44 -0.81 -33.74 0.96
-14.22 -31.41 -33.70 -14.16 -31.61 -33.75 0.22
36.88 5.70 3.85 37.33 5.79 4.14 0.54
-1.51 9.56 -3.49 -1.37 9.30 -3.40 0.31
18.69 5.00 -27.05 19.15 4.73 -26.40 0.84
-40.99 -15.09 -44.85 -40.11 -15.07 -44.04 1.20
-4.93 -10.59 -44.17 -5.04 -10.57 -44.10 0.13
3.26 -14.35 -6.16 3.25 -14.26 -6.18 0.09
9.77 16.46 -10.62 9.91 16.40 -10.58 0.17
-8.57 12.07 14.04 -8.43 12.09 14.05 0.14
-28.48 6.46 -21.46 -28.69 6.94 -20.91 0.75
-4.53 -10.67 -43.24 -4.46 -10.68 -43.29 0.09
8.69 -5.60 -23.72 8.58 -5.36 -23.28 0.51
22.17 17.48 23.31 22.46 17.62 23.37 0.32
25.34 0.01 29.67 25.71 -0.13 29.81 0.43
12.79 21.83 33.25 12.74 22.36 33.29 0.54
28.72 15.67 -5.46 29.13 15.91 -5.37 0.48
-10.72 25.63 19.66 -10.63 25.42 19.77 0.25
-11.19 19.31 29.62 -12.14 19.22 30.93 1.62
-28.42 8.71 -27.10 -28.47 8.81 -27.09 0.11
-5.80 24.71 30.80 -5.77 25.87 31.49 1.35
-25.51 -0.63 -17.15 -25.49 -0.24 -16.49 0.77
10.99 23.16 19.98 11.03 23.61 20.00 0.44
1.25 24.78 15.12 1.07 24.43 15.23 0.40
-40.71 -3.71 -42.25 -40.38 -4.02 -41.40 0.96
31.01 1.29 -24.53 31.58 1.55 -24.63 0.64
-39.61 0.12 -25.93 -39.36 -0.03 -26.02 0.30
-5.76 0.50 -35.43 -5.29 0.84 -35.61 0.61
-21.55 -33.13 -33.39 -21.55 -33.21 -33.40 0.08
30.76 -5.02 10.44 30.40 -4.66 10.33 0.51
-19.02 1.39 -48.43 -18.91 1.21 -47.78 0.68
16.23 -5.97 -25.22 16.63 -5.40 -24.64 0.91
-6.30 1.10 -33.01 -5.39 1.42 -32.84 0.97
17.40 5.01 68.08 17.47 5.55 69.89 1.89
16.66 -6.11 7.93 16.64 -6.06 7.91 0.06
28.62 6.34 -29.65 28.27 6.31 -29.36 0.46
24.42 20.40 -2.88 24.59 20.66 -2.94 0.31
-12.29 7.06 -29.16 -12.00 7.36 -29.27 0.43
19.47 -7.67 1.07 19.38 -7.11 0.95 0.58
-10.36 -7.17 5.48 -10.24 -7.04 5.38 0.20
-8.31 0.11 -41.33 -8.18 0.18 -41.42 0.17
15.30 2.76 -23.14 15.97 2.89 -22.84 0.75
