150, ../OUTPUT/pa5-C-Output.txt
75.6623 -5.0274 -42.5107 -39.2975 -13.8245 -28.2320
6.39 17.20 -4.68 6.38 17.20 -4.69 0.01
-24.42 -15.52 -4.12 -24.43 -15.52 -4.11 0.01
31.18 1.30 -30.72 31.16 1.30 -30.71 0.02
-40.97 -0.43 -33.05 -40.95 -0.44 -33.04 0.03
17.99 -18.01 -15.27 18.00 -17.95 -15.25 0.06
-3.77 23.61 24.50 -3.78 23.60 24.50 0.01
9.23 -16.66 -14.77 9.23 -16.63 -14.76 0.03
-8.27 -23.79 -10.82 -8.26 -23.80 -10.81 0.02
-9.83 -30.76 -23.55 -9.83 -30.77 -23.55 0.01
-29.50 -30.50 -33.03 -29.49 -30.48 -33.02 0.03
30.72 7.69 -31.36 30.70 7.70 -31.33 0.05
32.24 15.83 -23.03 32.23 15.83 -23.02 0.01
21.16 7.31 -30.56 21.18 7.31 -30.54 0.03
-11.44 10.57 17.28 -11.45 10.56 17.27 0.01
37.35 10.70 -14.30 37.35 10.70 -14.29 0.00
28.79 12.73 15.31 28.79 12.73 15.31 0.00
-43.67 -15.19 -26.43 -43.66 -15.19 -26.43 0.01
36.18 -3.48 -1.06 36.15 -3.45 -1.06 0.04
18.99 0.56 44.90 18.98 0.56 44.90 0.02
12.28 19.36 -20.81 12.27 19.36 -20.81 0.01
8.73 -15.30 -18.81 8.73 -15.27 -18.79 0.04
8.74 -16.65 -10.00 8.75 -16.60 -9.99 0.04
-14.17 3.23 -43.48 -14.17 3.22 -43.47 0.02
28.23 -10.22 -4.71 28.22 -10.20 -4.72 0.03
-41.45 -13.41 -15.64 -41.46 -13.41 -15.64 0.00
12.92 25.64 9.33 12.92 25.67 9.33 0.03
10.64 24.17 13.22 10.64 24.18 13.22 0.01
17.22 21.74 21.95 17.23 21.76 21.95 0.02
-7.28 7.57 -3.14 -7.28 7.57 -3.14 0.01
20.21 8.02 48.94 20.19 8.02 48.94 0.01
-15.58 21.36 25.78 -15.59 21.36 25.78 0.01
-3.49 -3.27 -35.23 -3.48 -3.26 -35.22 0.01
-36.19 1.67 -37.99 -36.18 1.65 -37.97 0.03
-3.72 -5.63 26.42 -3.73 -5.63 26.42 0.00
-42.77 -16.75 -23.32 -42.77 -16.75 -23.32 0.00
-7.82 7.25 41.87 -7.84 7.25 41.88 0.02
25.43 2.35 -32.11 25.44 2.36 -32.08 0.04
4.66 -6.51 48.45 4.66 -6.50 48.45 0.01
-9.13 15.84 14.72 -9.13 15.84 14.73 0.01
6.32 6.83 -18.12 6.32 6.82 -18.12 0.00
15.53 -12.62 2.13 15.52 -12.60 2.12 0.02
-43.37 -16.04 -25.79 -43.36 -16.04 -25.79 0.01
-5.88 -28.26 -22.06 -5.88 -28.27 -22.06 0.01
1.81 -18.17 -9.73 1.80 -18.17 -9.73 0.01
-5.79 17.27 12.59 -5.79 17.28 12.59 0.01
7.05 21.66 27.25 7.05 21.68 27.26 0.02
18.10 20.35 32.03 18.09 20.34 32.03 0.01
-2.24 -19.83 -36.99 -2.25 -19.82 -36.98 0.02
-21.82 -23.39 -44.77 -21.81 -23.37 -44.75 0.03
6.76 -6.43 39.41 6.76 -6.42 39.41 0.01
35.35 -4.33 -21.06 35.33 -4.32 -21.05 0.03
25.48 23.97 0.52 25.50 23.99 0.52 0.03
24.93 21.13 -26.37 24.93 21.13 -26.37 0.00
-22.88 5.74 -12.93 -22.88 5.75 -12.92 0.01
1.68 17.39 54.78 1.68 17.40 54.78 0.00
7.74 -12.32 7.49 7.73 -12.31 7.48 0.02
-3.70 15.55 48.76 -3.71 15.56 48.78 0.02
4.96 -6.56 33.42 4.96 -6.55 33.42 0.01
-2.24 4.90 -25.63 -2.25 4.90 -25.63 0.00
-0.19 17.50 49.23 -0.19 17.51 49.24 0.01
-9.30 -25.64 -12.12 -9.30 -25.65 -12.11 0.01
-17.24 3.36 -8.56 -17.25 3.37 -8.56 0.01
-2.49 -20.50 -36.54 -2.49 -20.49 -36.53 0.01
-29.27 -31.34 -21.26 -29.26 -31.33 -21.26 0.01
-36.62 -25.91 -27.12 -36.60 -25.90 -27.11 0.02
12.32 -6.31 27.43 12.32 -6.29 27.43 0.02
17.12 -13.58 -1.02 17.12 -13.57 -1.02 0.02
34.10 -3.87 4.94 34.09 -3.85 4.93 0.03
12.39 -5.65 41.57 12.38 -5.63 41.57 0.02
-1.25 2.38 -27.11 -1.25 2.38 -27.10 0.00
-12.49 -1.93 6.14 -12.50 -1.93 6.15 0.01
-31.58 -24.61 -11.27 -31.58 -24.61 -11.27 0.00
9.65 21.71 27.45 9.65 21.73 27.45 0.02
-11.93 12.66 -25.43 -11.93 12.65 -25.43 0.01
-27.11 -9.80 -47.82 -27.10 -9.80 -47.80 0.03
-20.53 -29.82 -12.63 -20.53 -29.82 -12.63 0.01
-3.38 -5.26 -38.01 -3.38 -5.26 -38.02 0.00
-10.58 21.03 18.10 -10.58 21.02 18.11 0.02
-31.55 1.78 -41.17 -31.54 1.76 -41.15 0.03
-32.55 6.41 -35.14 -32.54 6.39 -35.13 0.03
-19.42 -12.37 -3.12 -19.42 -12.37 -3.10 0.02
-8.47 -30.07 -26.57 -8.46 -30.07 -26.58 0.01
35.06 -4.35 -5.36 35.03 -4.33 -5.36 0.04
24.55 -16.50 -16.42 24.54 -16.45 -16.41 0.05
2.97 -16.63 -24.93 2.98 -16.63 -24.93 0.00
-24.19 -32.85 -19.79 -24.19 -32.86 -19.79 0.01
9.27 20.41 51.45 9.26 20.43 51.45 0.01
-4.92 14.11 50.05 -4.92 14.11 50.05 0.00
22.31 11.59 33.67 22.31 11.59 33.67 0.01
-3.43 -10.01 6.10 -3.43 -9.99 6.09 0.01
-7.86 6.81 38.85 -7.88 6.80 38.85 0.02
1.79 17.56 53.03 1.79 17.57 53.03 0.01
18.19 3.93 63.31 18.18 3.93 63.31 0.02
11.30 -5.48 57.38 11.29 -5.47 57.38 0.01
-38.19 -19.27 -14.07 -38.20 -19.27 -14.07 0.01
-6.91 23.78 22.34 -6.91 23.77 22.34 0.01
21.20 7.55 41.89 21.18 7.55 41.89 0.01
25.58 -7.59 4.60 25.58 -7.55 4.59 0.03
5.43 -9.27 16.71 5.43 -9.25 16.70 0.01
8.84 0.39 -23.13 8.84 0.39 -23.13 0.00
-21.75 -13.74 -47.92 -21.75 -13.75 -47.91 0.01
23.71 23.49 5.85 23.73 23.52 5.86 0.03
7.41 -14.41 -0.13 7.42 -14.38 -0.14 0.03
15.51 -6.62 19.41 15.51 -6.58 19.41 0.04
19.89 8.02 -29.13 19.91 8.03 -29.11 0.04
-7.30 -17.16 -5.84 -7.30 -17.16 -5.84 0.00
29.26 7.68 15.00 29.26 7.68 15.00 0.00
-1.72 -24.02 -29.81 -1.73 -24.01 -29.81 0.01
-40.52 -10.34 -12.75 -40.52 -10.34 -12.74 0.00
