150, ../OUTPUT/pa5-D-Output.txt
9.6818 -67.8781 36.2361 -166.0213 -48.3251 -78.1144
10.91 -3.24 63.22 11.06 -3.40 63.53 0.38
-17.90 -31.04 -12.91 -17.55 -31.37 -11.68 1.32
-5.84 -5.58 25.49 -4.33 -4.13 25.43 2.10
5.79 10.48 63.40 5.61 11.36 64.44 1.37
20.21 -15.47 -4.91 20.46 -15.98 -4.49 0.70
-10.54 -29.62 -37.40 -10.88 -29.32 -37.11 0.54
-43.20 -1.76 -12.91 -43.20 -1.76 -12.91 0.00
5.22 -18.54 -17.04 5.35 -18.71 -17.06 0.22
2.61 5.37 65.84 2.73 5.13 65.18 0.71
32.93 -1.60 5.00 32.78 -1.51 4.92 0.19
16.88 11.70 38.92 18.76 11.91 39.62 2.02
-44.63 -4.49 -38.10 -43.73 -4.80 -37.90 0.97
-1.75 -11.37 -28.82 -1.70 -11.41 -28.93 0.13
-44.27 -17.75 -34.74 -43.37 -17.65 -34.56 0.92
13.46 -6.34 20.31 13.43 -6.26 20.29 0.09
21.72 -6.22 -22.71 21.62 -6.43 -22.83 0.27
21.61 -14.95 -4.84 21.56 -15.64 -4.14 0.99
-0.72 -11.57 -27.65 -0.48 -11.71 -27.93 0.39
2.17 -12.92 8.12 2.34 -12.42 8.01 0.54
0.95 6.35 -21.55 0.96 6.38 -21.59 0.05
7.68 25.29 6.99 7.66 25.01 7.20 0.35
-1.24 27.64 5.12 -1.39 25.96 8.51 3.78
0.86 10.65 -4.62 1.04 10.30 -4.54 0.40
11.19 18.80 43.87 10.04 19.58 44.01 1.39
6.22 -17.22 4.85 7.41 -16.33 3.97 1.73
33.72 22.00 -21.09 33.95 22.21 -21.11 0.31
-5.37 7.96 -6.29 -5.28 7.81 -6.33 0.18
-15.25 -33.45 -33.62 -15.33 -33.10 -33.41 0.41
-18.42 -30.03 -10.76 -17.93 -30.89 -10.32 1.08
-28.61 -32.22 -37.98 -28.35 -31.67 -37.49 0.78
-7.05 8.51 57.69 -5.32 7.11 57.67 2.22
-33.64 -34.40 -29.75 -33.38 -34.12 -29.65 0.40
2.71 -6.32 -25.53 2.73 -6.28 -25.61 0.08
-39.73 4.77 -17.74 -39.75 4.80 -17.73 0.03
3.76 -8.60 51.95 3.76 -8.80 51.91 0.20
24.65 19.84 17.93 25.45 20.36 18.42 1.07
22.30 29.07 7.13 22.53 29.50 7.21 0.50
-11.41 13.95 18.71 -10.25 14.31 18.25 1.29
-23.32 11.37 -37.12 -23.36 10.91 -36.50 0.77
-10.99 -30.54 -11.26 -10.89 -30.86 -11.15 0.36
16.11 28.67 -2.24 15.82 28.92 -2.34 0.40
-33.28 9.39 -18.62 -33.36 9.49 -18.61 0.13
-5.86 -1.22 -34.52 -6.64 -1.94 -34.54 1.06
7.06 -2.64 -22.93 7.10 -2.68 -23.17 0.24
18.41 12.41 34.72 20.14 12.53 35.23 1.81
24.70 -2.42 11.46 24.32 -2.15 11.35 0.48
-37.76 2.93 -41.07 -37.47 2.03 -40.18 1.30
-47.54 -6.10 -26.24 -46.68 -6.14 -26.06 0.88
35.46 9.69 -31.91 35.38 10.36 -31.06 1.09
-26.26 -28.25 -44.12 -26.11 -27.48 -43.61 0.94
-2.17 -8.24 45.89 -1.57 -7.08 45.95 1.30
20.51 7.20 -28.09 20.47 7.23 -28.13 0.06
35.14 -2.37 -29.80 34.42 -2.07 -29.68 0.78
