400, ../OUTPUT/pa5-F-Output.txt
67.4965 49.0844 54.5098 -125.9780 23.7131 -77.5150
4.55 8.77 -3.92 4.21 9.46 -4.25 0.84
-41.51 -9.52 -45.46 -41.64 -9.46 -45.67 0.25
-21.70 -22.25 -50.58 -21.84 -21.97 -49.92 0.74
9.65 -9.88 15.31 9.58 -9.77 15.27 0.14
-11.72 -3.61 2.48 -11.85 -3.64 2.57 0.16
4.95 -15.27 -2.64 4.87 -14.57 -2.93 0.76
-29.80 -27.45 -44.68 -29.54 -26.79 -44.24 0.84
-44.64 -12.96 -40.03 -45.65 -12.79 -40.20 1.04
-7.53 3.19 40.39 -6.06 3.19 40.32 1.47
-7.23 7.00 -23.15 -7.19 7.04 -23.16 0.06
0.03 13.31 8.46 0.09 13.23 8.54 0.13
-25.56 9.52 -35.76 -25.81 10.20 -36.11 0.80
36.40 4.29 -27.73 36.05 4.29 -27.70 0.35
38.51 4.84 -10.64 38.30 4.84 -10.64 0.22
6.23 0.95 69.60 6.23 0.95 69.60 0.00
-38.97 -26.58 -21.00 -39.15 -26.75 -20.91 0.26
25.47 12.35 19.53 25.48 12.35 19.53 0.00
34.63 13.85 -3.90 35.09 14.25 -3.90 0.61
15.44 2.10 57.42 16.94 0.97 57.45 1.88
-7.92 -0.29 -38.73 -8.78 -0.54 -38.30 0.99
9.04 -2.36 65.95 10.34 -4.07 65.84 2.15
12.99 22.47 22.73 13.02 22.36 22.70 0.12
-5.87 5.70 -22.78 -5.79 6.17 -22.93 0.50
31.83 17.31 -4.87 31.72 17.23 -4.91 0.14
18.19 9.32 42.07 19.34 9.61 42.30 1.20
-5.97 -0.72 38.70 -5.53 -0.17 38.68 0.71
12.57 14.68 58.28 13.77 15.59 58.62 1.55
-21.75 -28.30 -12.63 -21.75 -28.28 -12.64 0.02
0.63 -21.65 -33.62 -0.24 -21.38 -33.51 0.92
22.77 -13.92 -10.30 22.52 -13.74 -10.20 0.32
12.00 -3.27 27.64 12.16 -3.67 27.71 0.44
38.48 2.88 -6.96 37.70 3.14 -7.20 0.85
-21.66 -6.58 -7.75 -22.11 -6.25 -6.98 0.96
-35.31 1.42 -13.35 -34.85 2.11 -12.02 1.56
26.68 -6.91 -23.45 26.47 -6.13 -23.14 0.86
-1.11 -2.95 41.11 -1.00 -2.70 41.11 0.27
-38.87 -26.84 -37.55 -38.64 -26.58 -37.41 0.37
31.24 20.38 -18.22 31.81 20.85 -18.31 0.74
-7.32 3.10 41.27 -6.02 3.10 41.20 1.30
21.80 21.24 -26.79 22.12 22.09 -27.46 1.13
-26.19 0.79 -47.18 -26.17 0.90 -47.31 0.17
-33.03 7.62 -28.80 -33.82 8.66 -28.79 1.31
3.31 -2.45 -24.92 3.36 -2.10 -25.25 0.48
-8.82 0.38 4.66 -9.03 0.50 4.69 0.25
24.71 24.25 -14.31 25.26 25.23 -14.22 1.13
3.87 -4.37 53.99 3.84 -4.53 53.99 0.16
-4.03 -4.91 -32.27 -4.16 -4.99 -32.23 0.15
-0.06 -5.77 26.95 0.17 -5.22 26.85 0.61
1.49 -5.13 -28.06 0.98 -4.99 -27.61 0.70
21.31 18.44 26.05 21.73 18.52 26.17 0.45
36.60 2.18 -0.49 35.80 2.62 -0.63 0.93
19.91 14.11 -16.25 19.71 14.01 -16.26 0.23
17.78 20.00 40.92 18.78 20.11 41.11 1.02
-0.15 -3.87 -28.50 0.11 -3.89 -28.76 0.36
18.38 15.42 38.35 19.11 15.59 38.55 0.78
-1.24 -6.24 19.99 -1.15 -5.96 19.96 0.29
21.00 15.94 27.96 21.54 15.98 28.13 0.56
-11.70 20.19 20.32 -11.33 19.94 20.33 0.45
26.88 -8.86 -18.35 26.68 -8.13 -18.06 0.81
11.84 -16.13 -8.75 11.90 -15.77 -8.64 0.39
10.00 -3.53 -22.12 9.77 -3.59 -22.75 0.67
-4.59 12.44 32.39 -4.81 12.40 32.64 0.34
9.94 20.35 34.31 10.38 19.65 34.19 0.83
-40.73 -2.76 -42.86 -40.99 -2.57 -43.19 0.46
-27.71 -20.98 -7.19 -27.78 -20.55 -6.39 0.91
-36.42 -29.81 -35.51 -36.20 -29.40 -35.33 0.50
-30.83 6.30 -17.68 -30.84 7.39 -17.28 1.16
1.91 16.39 7.81 1.94 16.37 7.84 0.05
-8.53 -24.41 -8.44 -8.38 -23.89 -8.72 0.61
-44.67 -12.88 -35.51 -45.84 -12.15 -35.45 1.38
24.00 7.33 -26.54 22.81 8.03 -27.66 1.78
-42.33 -10.59 -13.69 -43.01 -10.73 -13.37 0.77
-9.49 -2.54 6.87 -9.49 -2.54 6.87 0.00
-6.79 5.27 33.87 -6.01 5.16 33.69 0.81
17.60 11.60 43.64 18.68 11.78 43.79 1.11
0.21 -9.06 -29.79 0.08 -9.04 -29.65 0.19
-36.32 -28.90 -38.13 -35.99 -28.41 -37.92 0.63
-3.31 -3.16 61.52 -2.80 -2.49 61.61 0.84
-26.31 -0.98 -48.58 -26.30 -0.93 -48.65 0.09
-39.77 -27.28 -29.67 -39.66 -27.18 -29.66 0.15
8.81 -1.47 -22.27 8.91 -1.65 -22.77 0.55
-27.38 -8.47 -51.71 -27.32 -8.58 -51.41 0.32
23.97 24.77 -6.55 24.30 25.44 -6.58 0.74
29.24 14.29 -26.79 29.58 15.04 -27.95 1.43
-33.33 2.32 -43.18 -33.42 2.53 -43.42 0.33
-21.12 -2.97 -9.49 -21.58 -2.44 -8.66 1.08
-6.33 -2.71 15.32 -5.80 -2.69 15.14 0.56
-38.11 -24.98 -40.97 -37.82 -24.67 -40.70 0.51
-38.36 -22.84 -14.66 -38.65 -22.97 -14.49 0.36
-5.12 -3.38 17.83 -4.63 -3.05 17.69 0.61
-18.54 -34.49 -33.23 -18.99 -33.25 -33.08 1.33
-12.54 16.73 24.32 -12.51 16.73 24.33 0.04
22.31 24.08 -15.66 21.76 25.74 -15.66 1.75
14.07 -2.01 35.28 14.11 -2.19 35.30 0.18
28.88 -2.03 -27.80 28.62 -2.36 -28.55 0.85
30.23 20.47 0.90 30.30 20.48 0.91 0.06
35.22 0.72 1.28 34.33 0.87 1.05 0.94
8.67 19.11 38.64 9.14 18.60 38.71 0.70
29.02 20.52 -20.69 29.38 21.25 -21.29 1.01
9.98 9.56 70.84 10.00 9.56 70.57 0.27
27.10 -4.24 7.55 26.81 -3.36 7.44 0.93
11.01 -3.36 30.78 11.10 -3.56 30.81 0.22
9.03 20.04 48.56 9.71 19.19 48.60 1.08
-12.11 15.84 17.45 -11.99 15.85 17.55 0.16
-1.85 -15.35 -35.09 -1.75 -15.29 -35.13 0.13
3.38 12.16 4.44 3.29 12.29 4.37 0.17
-11.69 -2.71 2.45 -11.86 -2.70 2.54 0.19
0.49 -5.88 26.02 0.62 -5.55 25.97 0.36
22.90 -1.78 -24.23 22.49 -2.08 -25.05 0.96
9.87 7.62 70.32 9.87 7.58 70.44 0.13
16.05 14.41 47.66 16.97 14.57 47.96 0.98
9.76 21.10 25.90 9.85 20.88 25.87 0.24
-2.76 -12.99 -35.84 -3.28 -13.10 -35.63 0.57
6.49 18.37 51.44 7.90 17.45 51.50 1.68
-1.31 -3.19 54.79 -1.21 -2.90 54.84 0.31
-8.21 1.82 2.73 -8.44 2.01 2.85 0.33
0.53 6.81 -2.99 0.07 7.48 -3.08 0.81
11.13 -2.28 54.95 11.48 -3.39 54.91 1.17
2.97 3.25 69.60 2.96 3.47 69.85 0.33
9.72 -13.94 5.80 9.47 -13.42 5.44 0.68
27.26 -1.20 13.33 26.47 -0.22 12.75 1.38
25.79 -4.18 9.77 25.50 -3.51 9.59 0.75
4.36 6.52 69.34 4.26 6.07 69.73 0.61
-21.53 -11.76 -5.76 -21.83 -11.53 -5.21 0.67
21.95 -14.85 -3.40 21.50 -14.12 -3.78 0.93
0.41 16.22 8.95 0.71 16.46 9.12 0.41
-31.07 2.49 -43.93 -31.14 2.66 -44.12 0.27
-1.47 14.82 36.73 -1.11 14.28 36.48 0.69
36.63 1.73 -0.68 35.64 2.28 -0.85 1.14
6.59 -15.88 -1.61 7.05 -15.28 -1.71 0.76
21.51 -11.95 -1.45 20.88 -11.59 -1.92 0.86
6.00 -3.87 69.63 5.94 -3.94 70.27 0.65
-1.93 17.87 9.18 -1.68 18.09 9.79 0.70
2.99 -8.67 19.70 3.28 -8.10 19.66 0.64
-29.59 -23.40 -49.37 -29.31 -22.91 -48.61 0.94
-27.05 -27.08 -46.40 -27.07 -26.15 -45.62 1.22
-18.83 -31.52 -40.53 -19.31 -30.49 -39.80 1.35
18.21 20.95 36.36 19.16 21.13 36.45 0.97
-6.47 -22.46 -40.73 -7.62 -21.81 -39.97 1.52
14.75 24.64 10.28 14.58 24.97 10.32 0.38
18.63 -16.41 -2.65 18.36 -15.57 -3.32 1.11
-3.83 -1.95 38.04 -3.69 -1.62 38.04 0.35
24.21 25.05 -3.18 24.50 25.53 -3.21 0.57
33.05 16.86 -6.69 32.82 16.70 -6.77 0.29
17.37 -2.03 25.25 17.35 -2.00 25.24 0.03
-12.24 6.38 -39.97 -12.38 6.28 -39.89 0.19
-2.20 -5.35 22.10 -1.85 -5.09 22.03 0.43
26.68 -11.05 -12.76 25.91 -10.49 -12.89 0.95
-12.38 -9.89 -49.24 -12.87 -9.75 -48.22 1.14
-2.30 -12.44 -34.45 -2.83 -12.56 -34.24 0.59
11.09 21.71 23.50 11.13 21.59 23.47 0.13
-16.30 -27.94 -13.88 -16.46 -27.53 -14.06 0.47
2.23 9.99 2.54 1.97 10.31 2.40 0.44
18.15 10.91 -13.46 17.49 11.73 -14.17 1.28
11.23 -9.83 11.47 11.32 -9.98 11.51 0.18
-12.29 -12.38 -49.04 -12.64 -12.44 -48.29 0.83
37.98 4.60 -15.31 37.70 4.61 -15.26 0.29
25.64 -6.22 4.01 25.13 -5.11 3.53 1.32
-0.99 -6.22 19.77 -0.94 -6.05 19.75 0.18
-5.56 20.10 12.53 -5.31 19.47 13.01 0.82
14.11 22.80 22.17 14.12 22.60 22.15 0.20
24.01 10.14 -26.07 23.12 10.32 -26.69 1.09
-7.41 0.77 57.50 -6.39 1.09 57.48 1.07
15.45 7.28 61.93 16.96 8.05 62.10 1.70
9.66 15.81 66.21 10.06 16.33 66.37 0.67
0.76 0.10 70.13 0.76 0.10 70.10 0.04
38.12 5.16 -6.71 38.21 5.13 -6.68 0.10
19.29 -14.91 -12.26 19.27 -14.81 -12.21 0.11
36.49 3.43 1.90 35.79 3.86 1.72 0.85
-2.95 11.37 59.91 -1.93 10.15 60.00 1.60
-17.39 9.42 -21.94 -17.05 10.27 -20.75 1.50
12.11 -13.91 -14.48 11.92 -13.32 -14.35 0.64
32.24 -6.80 -20.83 31.43 -5.56 -20.68 1.49
-45.58 -16.62 -25.96 -46.21 -16.84 -25.86 0.68
26.37 -6.54 1.39 25.78 -5.83 1.04 0.98
37.71 3.58 -17.56 37.10 3.68 -17.46 0.62
-3.08 -1.59 50.30 -2.97 -1.39 50.30 0.23
4.75 -8.85 19.38 4.77 -8.53 19.31 0.33
18.94 19.80 -25.53 17.51 19.42 -25.85 1.51
-39.02 -2.15 -44.09 -39.15 -2.04 -44.26 0.24
-21.54 -3.41 -9.54 -22.03 -2.85 -8.66 1.15
0.41 9.32 3.22 0.27 9.48 3.14 0.23
-22.14 -35.05 -24.85 -22.20 -34.20 -24.90 0.84
13.16 10.86 66.04 14.15 11.74 66.25 1.34
-1.02 -6.66 18.74 -0.88 -6.19 18.69 0.49
12.08 -4.04 24.94 12.14 -4.19 24.98 0.16
9.52 8.88 -8.29 9.25 9.83 -8.48 1.00
10.61 21.32 4.77 10.17 21.78 4.64 0.66
27.73 -4.31 -26.58 27.76 -4.51 -26.70 0.23
-13.01 -33.22 -28.34 -13.70 -32.16 -28.28 1.27
3.49 15.80 60.37 4.78 14.68 60.53 1.72
-1.64 -25.87 -27.58 -2.30 -24.94 -27.27 1.18
21.57 23.11 15.91 21.80 23.50 16.04 0.47
17.16 -5.75 12.76 17.09 -5.62 12.70 0.15
4.71 16.74 57.72 5.97 15.65 57.90 1.68
-14.44 -29.23 -41.49 -14.75 -28.45 -40.72 1.14
-14.75 -26.22 -11.51 -14.80 -25.87 -11.75 0.42
-3.83 -23.92 -35.17 -4.53 -23.50 -34.58 1.01
32.48 18.20 -7.68 32.58 18.23 -7.63 0.12
-9.60 20.53 15.57 -9.03 20.21 16.01 0.79
-21.63 -10.73 -51.92 -21.87 -10.77 -51.27 0.69
-19.45 -13.26 -51.59 -19.79 -13.29 -50.57 1.08
-21.01 -16.08 -6.82 -21.11 -16.26 -6.41 0.45
6.04 -15.46 -24.67 5.84 -15.40 -24.54 0.24
-24.46 9.47 -36.22 -24.72 10.38 -36.51 0.99
14.15 22.33 -1.78 13.61 22.85 -1.96 0.77
17.96 -14.90 -0.85 17.74 -14.23 -1.37 0.88
14.30 9.62 67.14 15.11 10.08 67.30 0.95
2.32 -3.22 -26.44 2.40 -3.24 -26.52 0.12
18.68 21.24 30.55 19.22 21.79 30.59 0.77
-10.91 15.75 14.97 -10.31 15.81 15.45 0.77
-4.92 9.02 48.54 -3.85 7.89 48.71 1.56
-6.89 5.29 29.67 -6.19 5.41 29.68 0.71
-0.32 20.51 30.61 -0.26 20.66 30.68 0.18
36.80 0.52 -1.76 35.93 1.40 -2.24 1.32
-2.48 -7.68 -31.24 -2.42 -7.66 -31.31 0.09
-7.11 0.76 36.56 -5.83 0.97 36.54 1.30
-39.54 1.20 -20.18 -40.22 2.11 -19.88 1.18
25.37 17.88 -26.63 25.61 17.97 -26.86 0.35
-30.68 8.80 -28.04 -31.47 10.02 -27.93 1.45
22.88 20.50 -27.30 23.08 20.61 -27.71 0.47
-4.20 5.04 -9.28 -4.58 5.76 -8.99 0.86
0.50 -4.37 69.70 0.40 -4.61 69.83 0.28
-41.60 -5.00 -43.43 -41.87 -4.81 -43.78 0.48
18.88 19.83 -21.60 17.65 19.54 -21.38 1.28
25.89 4.86 16.54 25.61 4.90 16.40 0.32
25.73 -9.86 -17.35 25.54 -9.66 -17.19 0.33
-22.28 -13.61 -6.05 -22.38 -13.79 -5.63 0.47
-26.93 -35.30 -31.51 -26.73 -34.64 -31.55 0.69
21.36 16.97 26.91 21.74 17.01 27.02 0.40
-12.60 -32.02 -35.50 -13.11 -30.97 -35.09 1.24
6.67 19.03 31.29 6.70 18.75 31.23 0.29
35.82 3.82 -27.96 36.03 3.82 -27.97 0.21
15.16 23.89 -0.12 14.58 24.44 -0.33 0.82
-4.38 -2.10 -31.94 -4.77 -1.87 -31.47 0.65
34.35 -0.77 0.52 33.80 -0.33 0.46 0.70
12.20 -3.36 27.53 12.31 -3.63 27.57 0.30
28.35 10.68 -28.88 28.06 10.93 -30.26 1.43
-8.82 10.71 26.90 -9.03 10.54 26.89 0.26
19.51 6.99 37.03 20.46 7.11 37.21 0.97
32.84 -1.55 5.24 32.42 -1.09 5.09 0.64
4.17 4.82 69.30 4.21 4.80 69.41 0.12
-4.38 17.30 10.30 -4.12 17.71 11.01 0.86
37.62 10.73 -8.87 37.75 10.77 -8.88 0.14
22.94 19.68 19.75 23.25 19.80 19.87 0.35
0.44 15.05 38.64 0.74 14.60 38.43 0.59
-32.81 -21.83 -9.16 -33.08 -22.01 -8.75 0.52
-40.10 -15.63 -11.35 -40.61 -15.76 -11.06 0.60
-42.46 -19.71 -18.85 -42.94 -19.89 -18.69 0.54
9.88 -7.81 -22.61 9.84 -7.76 -22.55 0.08
13.25 -7.18 -21.64 13.23 -7.07 -21.51 0.17
5.51 14.51 3.62 5.35 14.58 3.53 0.20
7.15 -0.09 -22.24 7.07 0.27 -22.67 0.57
24.48 -1.79 14.56 24.21 -1.31 14.38 0.59
-7.11 -11.29 -42.51 -7.86 -11.41 -41.97 0.93
-41.95 0.27 -35.45 -42.76 0.89 -35.77 1.07
-16.89 -14.03 -50.52 -17.08 -14.00 -50.27 0.31
18.26 5.92 45.13 19.42 5.94 45.27 1.17
-6.82 4.09 26.03 -6.06 4.27 25.93 0.79
23.37 6.42 22.16 23.43 6.41 22.18 0.07
-20.84 -5.29 -7.64 -21.23 -5.01 -6.99 0.81
28.47 19.53 -22.66 28.91 20.04 -23.05 0.79
20.79 22.61 -21.51 19.48 24.06 -21.57 1.95
1.70 12.06 69.15 1.93 11.86 68.45 0.76
-5.73 2.46 -28.93 -5.65 2.59 -29.02 0.17
-4.01 -9.05 9.24 -3.70 -8.59 9.02 0.60
-43.19 -9.66 -43.20 -43.63 -9.55 -43.61 0.61
-43.61 -21.96 -27.32 -43.68 -22.00 -27.32 0.08
31.80 0.47 10.07 31.34 0.78 9.75 0.64
34.61 15.75 -20.33 34.43 15.69 -20.31 0.19
6.03 -17.84 -18.94 5.50 -17.14 -18.83 0.88
37.36 0.16 -10.56 36.71 0.80 -10.55 0.91
14.56 8.87 62.81 16.00 9.65 62.97 1.65
-20.87 -31.08 -14.72 -20.87 -31.10 -14.41 0.31
21.99 24.38 -10.95 21.49 25.82 -11.06 1.53
9.05 19.73 32.58 9.33 19.28 32.49 0.54
5.91 -4.13 38.21 6.06 -4.71 38.24 0.60
-13.29 10.24 -32.98 -13.40 10.12 -32.94 0.18
17.29 17.94 -8.44 16.63 18.10 -9.12 0.96
8.90 -3.52 34.94 9.06 -4.01 34.97 0.52
0.35 23.09 19.37 0.15 22.66 19.43 0.48
-1.76 5.47 -5.84 -2.01 6.18 -5.91 0.76
-33.78 -26.47 -42.95 -33.48 -26.02 -42.50 0.70
-12.66 -16.03 -3.70 -12.65 -16.03 -3.72 0.02
-41.35 -4.63 -43.44 -41.61 -4.44 -43.78 0.47
21.21 21.26 -26.67 21.59 22.28 -27.47 1.35
15.64 -10.72 -17.99 15.64 -10.73 -17.99 0.01
-10.19 -13.40 -47.68 -11.24 -13.22 -46.92 1.31
-24.89 -22.51 -7.36 -24.90 -22.72 -6.95 0.46
14.98 18.07 48.63 16.01 18.25 49.00 1.11
22.77 10.30 -26.20 22.75 10.30 -26.22 0.03
-1.10 -24.68 -31.49 -1.67 -24.02 -31.08 0.96
9.68 11.77 -3.47 9.18 12.14 -3.85 0.72
22.44 4.85 24.56 22.81 4.81 24.66 0.38
-11.55 -31.73 -22.01 -11.96 -30.91 -22.17 0.93
-1.23 -4.81 68.88 -0.99 -4.41 68.72 0.49
16.41 4.55 56.68 18.24 4.56 56.87 1.85
1.53 -11.08 4.52 1.51 -10.47 4.36 0.63
0.61 17.38 8.27 0.80 17.47 8.57 0.36
-45.28 -17.22 -25.64 -45.95 -17.45 -25.54 0.72
-36.23 -30.16 -34.55 -36.00 -29.85 -34.53 0.39
-25.95 -12.71 -52.75 -25.99 -12.52 -51.99 0.78
-24.61 12.06 -27.21 -25.38 13.50 -27.06 1.64
34.37 14.20 0.42 34.50 14.33 0.50 0.20
0.17 15.45 9.52 0.48 15.59 9.85 0.48
-8.36 1.18 61.61 -6.81 1.30 61.83 1.56
15.32 22.86 -3.44 14.58 23.49 -3.52 0.98
13.48 21.97 31.10 13.64 21.62 31.14 0.39
29.18 14.82 -26.36 29.53 15.62 -27.59 1.51
31.40 17.64 -3.94 31.40 17.64 -3.94 0.00
3.63 6.80 70.95 3.62 6.85 70.00 0.96
1.80 12.27 6.16 1.78 12.30 6.14 0.04
10.34 16.78 -0.21 10.07 16.69 -0.41 0.35
18.94 14.17 36.13 19.83 14.19 36.32 0.91
19.07 12.93 36.08 19.95 13.01 36.25 0.90
12.29 -4.29 24.38 12.28 -4.25 24.38 0.03
1.65 13.66 54.17 2.26 12.50 54.21 1.31
28.77 -6.41 -2.41 28.03 -5.57 -2.71 1.16
18.69 13.44 37.36 19.65 13.52 37.57 0.99
14.38 23.86 12.93 14.32 24.06 12.98 0.22
-36.46 -27.89 -18.86 -36.50 -27.94 -18.83 0.07
0.61 17.60 8.11 0.81 17.49 8.57 0.51
-41.84 -20.62 -40.64 -41.70 -20.51 -40.59 0.18
3.78 -4.05 46.99 3.76 -4.29 47.00 0.25
17.87 22.30 29.19 17.87 22.43 29.19 0.13
17.69 4.87 47.15 19.18 4.86 47.39 1.51
-6.31 -1.93 -36.01 -6.90 -2.25 -35.77 0.71
5.76 18.29 35.82 5.77 17.87 35.73 0.43
35.06 -1.19 -29.21 34.27 -0.59 -29.09 0.99
1.57 -19.60 -11.85 1.43 -19.60 -11.94 0.16
-9.97 -26.43 -41.44 -10.74 -25.54 -40.70 1.40
2.79 14.51 7.68 2.92 14.46 7.74 0.15
1.25 21.71 13.00 1.19 21.40 13.07 0.33
-8.58 4.66 -30.48 -8.61 4.64 -30.47 0.04
14.47 22.32 28.94 14.53 22.12 28.92 0.21
20.99 20.12 -27.60 21.58 20.29 -28.55 1.14
32.34 10.08 -30.40 32.10 9.95 -31.39 1.02
-16.12 -18.44 -50.10 -16.37 -18.24 -49.10 1.05
-38.39 -18.28 -10.05 -38.58 -18.40 -9.96 0.24
17.91 16.71 39.23 18.81 16.57 39.40 0.93
13.24 18.56 -4.32 12.52 18.79 -4.53 0.79
