150, ../OUTPUT/pa5-A-Output.txt
-17.5633 -9.0263 -30.9597 141.9523 32.9193 75.1536
-27.77 -27.26 -19.95 -27.77 -27.27 -19.95 0.00
30.17 -11.90 -1.04 30.17 -11.90 -1.04 0.00
-37.22 -19.63 -19.28 -37.22 -19.63 -19.28 0.00
-22.18 9.84 -34.09 -22.18 9.85 -34.09 0.00
-39.08 -17.95 -27.01 -39.08 -17.95 -27.01 0.00
-3.12 -6.14 46.57 -3.12 -6.15 46.57 0.00
10.25 22.41 37.10 10.25 22.41 37.10 0.00
2.94 -8.33 23.53 2.94 -8.33 23.53 0.00
-29.46 4.43 -38.28 -29.46 4.43 -38.28 0.00
27.40 9.35 44.74 27.40 9.35 44.74 0.00
37.75 -6.26 11.45 37.75 -6.27 11.45 0.00
2.57 -8.28 25.95 2.58 -8.28 25.95 0.00
-0.98 -13.24 -37.71 -0.98 -13.24 -37.71 0.00
-32.57 1.83 -16.07 -32.57 1.83 -16.07 0.00
-8.67 -23.39 -38.59 -8.67 -23.39 -38.59 0.00
-33.60 5.97 -21.70 -33.60 5.96 -21.70 0.00
-6.73 20.49 47.32 -6.73 20.49 47.32 0.00
-20.55 -25.95 -13.50 -20.55 -25.94 -13.50 0.00
-39.91 -1.59 -27.02 -39.92 -1.59 -27.02 0.00
32.82 -10.48 -6.27 32.83 -10.48 -6.27 0.00
35.81 -5.05 -12.72 35.81 -5.05 -12.71 0.00
-1.01 23.01 39.41 -1.01 23.02 39.41 0.01
-19.58 0.61 -0.65 -19.58 0.61 -0.65 0.00
-11.75 -26.63 -35.53 -11.75 -26.63 -35.53 0.00
-11.54 -0.10 27.26 -11.53 -0.10 27.26 0.00
-22.36 -8.34 -4.30 -22.36 -8.34 -4.30 0.00
-12.64 9.22 -27.44 -12.64 9.23 -27.44 0.00
-10.46 -12.46 -45.83 -10.46 -12.46 -45.83 0.00
28.06 -6.29 20.13 28.06 -6.29 20.13 0.00
29.14 7.80 35.41 29.13 7.80 35.41 0.00
-6.92 -18.96 -41.05 -6.92 -18.96 -41.05 0.00
-37.39 1.82 -27.71 -37.39 1.82 -27.71 0.00
26.00 -3.57 34.50 26.00 -3.57 34.50 0.00
-23.12 -1.58 -45.70 -23.12 -1.59 -45.70 0.00
-34.10 -10.95 -40.99 -34.10 -10.95 -40.99 0.00
19.36 -6.07 37.52 19.36 -6.07 37.52 0.00
38.59 11.26 3.47 38.59 11.26 3.47 0.00
-13.08 -29.06 -26.80 -13.08 -29.06 -26.80 0.00
39.49 -1.25 -6.26 39.49 -1.25 -6.26 0.00
15.71 -14.02 1.03 15.71 -14.02 1.03 0.00
21.88 20.21 56.94 21.87 20.21 56.94 0.00
-28.34 6.89 -15.97 -28.33 6.88 -15.97 0.00
-5.42 -8.47 -47.20 -5.42 -8.47 -47.20 0.00
2.29 24.66 6.85 2.29 24.66 6.85 0.00
-8.34 -13.74 -4.09 -8.34 -13.75 -4.09 0.00
-6.50 -18.00 -11.41 -6.50 -18.00 -11.41 0.00
27.26 -4.17 29.27 27.26 -4.17 29.27 0.00
-39.66 -2.42 -22.32 -39.67 -2.42 -22.32 0.01
36.28 -6.36 4.98 36.29 -6.36 4.98 0.01
15.09 22.82 21.86 15.09 22.81 21.86 0.01
-8.26 -23.69 -37.59 -8.26 -23.70 -37.59 0.00
19.06 -3.42 59.54 19.06 -3.43 59.54 0.00
-13.88 21.78 32.52 -13.88 21.77 32.52 0.01
-33.13 -18.59 -13.18 -33.13 -18.59 -13.18 0.00
-2.39 20.83 57.01 -2.39 20.83 57.01 0.00
-24.69 -28.35 -32.15 -24.69 -28.35 -32.15 0.00
26.30 14.64 45.40 26.30 14.64 45.40 0.00
-19.46 -30.06 -30.65 -19.46 -30.07 -30.65 0.01
24.92 22.33 1.34 24.92 22.33 1.34 0.00
31.77 -4.40 21.57 31.77 -4.41 21.57 0.00
-10.16 -7.85 18.93 -10.16 -7.85 18.93 0.00
-6.61 0.32 48.80 -6.61 0.32 48.80 0.00
30.26 -12.00 -7.02 30.26 -11.99 -7.02 0.00
12.76 15.08 -32.41 12.76 15.08 -32.41 0.00
-13.08 9.94 3.98 -13.08 9.94 3.98 0.00
-23.19 8.47 -16.39 -23.19 8.47 -16.39 0.00
25.49 -6.62 23.12 25.49 -6.62 23.12 0.00
8.25 13.50 -24.36 8.25 13.50 -24.36 0.00
36.10 13.11 -2.67 36.10 13.11 -2.67 0.00
21.55 22.94 2.96 21.55 22.95 2.96 0.00
18.37 23.84 2.85 18.37 23.83 2.85 0.00
-30.42 -26.45 -28.56 -30.42 -26.45 -28.56 0.00
23.18 -11.07 -23.08 23.18 -11.07 -23.08 0.00
1.91 23.30 30.19 1.91 23.31 30.19 0.00
-29.13 5.65 -37.77 -29.13 5.66 -37.77 0.00
20.39 -3.42 53.47 20.39 -3.42 53.47 0.00
-33.53 -9.29 -41.87 -33.53 -9.29 -41.87 0.00
12.41 -6.69 42.22 12.41 -6.70 42.22 0.00
19.27 21.70 -23.45 19.27 21.69 -23.45 0.00
1.59 -8.38 -28.63 1.59 -8.38 -28.63 0.00
21.96 -10.91 3.53 21.96 -10.92 3.53 0.00
-13.36 1.62 22.56 -13.36 1.62 22.56 0.00
18.70 -3.23 -21.07 18.70 -3.23 -21.07 0.00
-20.89 -29.86 -25.75 -20.89 -29.86 -25.75 0.00
-19.43 2.41 -3.80 -19.43 2.41 -3.80 0.00
13.55 -7.37 25.32 13.55 -7.38 25.32 0.00
26.74 18.86 -20.58 26.74 18.86 -20.58 0.00
-11.14 22.36 30.90 -11.14 22.35 30.90 0.00
42.73 1.92 9.22 42.73 1.92 9.22 0.00
26.94 14.43 38.21 26.94 14.43 38.21 0.00
35.60 6.94 17.88 35.59 6.94 17.88 0.00
13.99 23.84 58.42 13.99 23.84 58.42 0.00
